,Question,Correct
0,Elephants are the largest land animals.,True
1,Spiders are insects.,False
2,Bats are blind.,False
3,Komodo dragons have venomous saliva.,True
4,Penguins only live in cold climates.,False
5,"There are more than 10,000 known species of ants.",True
6,Snakes have slimy skin.,False
7,Giraffes have the same number of neck vertebrae as other mammals.,True
8,Koalas are bears.,False
9,The horn of a rhinoceros is made of bone.,False
10,Owls can rotate their heads 360 degrees.,False
11,Jellyfish are fish.,False
12,The blue whale is the largest animal on Earth.,True
13,A kangaroo is a type of rodent.,False
14,Chameleons can change their skin color to blend into their surroundings.,True
15,A camel can go without water for up to two weeks.,True
16,Bees die after stinging a human.,True
17,The average lifespan of a domesticated cat is 15 years.,True
18,All birds can fly.,False
19,"There are more than 2,000 species of fireflies.",True
20,The spots on a leopard are called rosettes.,True
21,Bumblebees can sting multiple times.,True
22,A baby kangaroo is called a joey.,True
23,All dogs can swim.,False
24,A praying mantis can turn its head 180 degrees.,True
25,Only male birds can sing.,False
26,Platypuses lay eggs.,True
27,Raccoons are nocturnal animals.,True
28,Camels store water in their hump.,True
29,Sloths move so slowly that they only come down from trees once a week.,False
30,Hedgehogs are actually related to porcupines.,False
31,Ferrets are a type of rodent.,False
32,Tigers are the only big cats with stripes.,True
33,Woodpeckers peck wood to find food.,True
34,A group of kangaroos is called a mob.,True
35,Bats are rodents.,False
36,The stripes on a zebra are white.,True
37,Hippos cannot swim.,False
38,Snails are slimy toads.,False
39,A group of flamingos is called a flamboyance.,True
40,Alligators are native to Africa.,False
41,Gorillas are herbivores.,True
42,Horses are able to sleep standing up.,True
43,A female ferret is called a jill.,True
44,Polar bears are white because of their pigment.,False
45,Lobsters are immortal.,False
46,Hyenas are related to cats.,False
47,Jaguars are found only in Africa.,False
48,Ostriches can run faster than horses.,True
49,Red pandas are related to giant pandas.,True
50,Plants can only grow in soil.,False.
51,All plants produce flowers.,False.
52,All plants require sunlight to grow.,True.
53,Plants cannot feel pain.,True.
54,All plants are green.,False.
55,All plants release oxygen during the day.,True.
56,Plants can grow in complete darkness.,False.
57,Plants do not need water to survive.,False.
58,All parts of a plant are edible.,False.
59,All fruits are produced by flowers.,True.
60,Carnivorous plants can survive without insects.,False.
61,Plants do not have a circulatory system.,False.
62,Plants can absorb nutrients through their leaves.,True.
63,All plants have roots.,False.
64,All plants are non-toxic.,False.
65,Plants can recognize their owners.,False.
66,All plants are photosynthetic.,False.
67,All plants are capable of reproduction.,True.
68,Plants can grow without carbon dioxide.,False.
69,Plants do not produce any sound.,False.
70,Plants cannot move.,False.
71,All parts of a plant contain chlorophyll.,False.
72,Plants cannot communicate with other plants.,False.
73,All plants require a specific temperature range to grow.,True.
74,Plants can grow in any type of soil.,False.
75,All trees are plants.,True.
76,Plants can only grow during the day.,False.
77,Plants cannot adapt to different environments.,False.
78,All plants have a fixed lifespan.,False.
79,Plants cannot reproduce asexually.,False.
80,All parts of a plant are important for its survival.,True.
81,Plants never stop growing.,False.
82,All plants are dependent on pollinators.,False.
83,Plants cannot produce fragrance.,False.
84,All plants are beneficial to humans.,False.
85,All plants produce seeds.,False.
86,Plants cannot sense their surroundings.,False.
87,Plants can grow in space.,True.
88,All plants are vulnerable to diseases.,True.
89,Plants can extract nutrients from rocks.,True.
90,All plants have rigid stems.,False.
91,Plants cannot reproduce sexually.,False.
92,All plants are non-motile.,True.
93,Plants can purify the air inside a closed space.,True.
94,All plants are annuals.,False.
95,Plants do not have any medicinal properties.,False.
96,All plants are prone to damage by pests.,True.
97,Plants cannot absorb water through their leaves.,False.
98,All plants require a specific level of humidity to grow.,True.
99,Plants do not have any economic value.,False.
100,Hot water freezes faster than cold water.,False.
101,Microwaving food destroys all of its nutrients.,False.
102,Drinking alcohol before bed will improve your sleep.,False.
103,Brown eggs are more nutritious than white eggs.,False.
104,Natural sugar is better for you than added sugar.,False.
105,Instant noodles are a good source of protein.,False.
106,Drinking coffee will dehydrate you.,False.
107,Eating fat will cause you to gain weight.,False.
108,Energy drinks are a safe way to stay awake and alert.,False.
109,Cooking with aluminum foil can cause Alzheimer's disease.,False.
110,Chewing gum stays in your stomach for 7 years.,False.
111,Eating garlic can repel mosquitos.,True.
