,Topic,Question,Correct
0,Animals,Elephants are the largest land animals.,True
1,Animals,Birds are the only animals that can fly.,True
2,Animals,Dogs are mammals.,True
3,Animals,Fish live in water.,True
4,Animals,Butterflies start as caterpillars.,True
5,Animals,Cows produce milk.,True
6,Animals,Kangaroos are found in Africa.,False
7,Animals,Gorillas are herbivores.,True
8,Animals,Tigers are a type of domesticated cat.,False
9,Animals,"Penguins can't fly, but they can swim.",True
10,Animals,Snakes are not vertebrates.,False
11,Animals,Rhinoceroses are extinct animals.,False
12,Animals,Alligators can live in saltwater.,True
13,Animals,Hamsters are nocturnal animals.,True
14,Animals,Bees can sting more than once.,False
15,Animals,Crocodiles and alligators are the same thing.,False
16,Animals,Whales are fish.,False
17,Animals,Raccoons are nocturnal animals.,True
18,Animals,Rabbits are rodents.,False
19,Animals,Cats can see in the dark.,True
20,Animals,Parrots are a type of mammal.,False
21,Animals,Zebras are black with white stripes.,False
22,Animals,Ants have six legs.,True
23,Animals,Owls can turn their heads 360 degrees.,True
24,Animals,The giant panda is native to China.,True
25,Animals,Gorillas can be found in Australia.,False
26,Animals,Elephants have hooves.,False
27,Animals,Snails are not invertebrates.,False
28,Animals,All birds can fly.,False
29,Animals,Dogs are a type of reptile.,False
30,Animals,Lions live in groups called prides.,False
31,Animals,Zebras are a type of horse.,True
32,Animals,Turtles are cold-blooded animals.,True
33,Animals,Jellyfish are not fish at all.,True
34,Animals,All snakes are venomous.,False
35,Animals,Spiders are insects.,False
36,Animals,Butterflies are not insects.,False
37,Animals,Rhinoceroses have two horns.,False
38,Animals,Cows are carnivores.,False
39,Animals,Kangaroos can be found in South America.,False
40,Animals,Penguins only live in cold areas.,True
41,Animals,Hippos are carnivores.,False
42,Animals,Beavers are found only in North America.,False
43,Animals,Crabs are not crustaceans.,False
44,Animals,Owls can see in complete darkness.,False
45,Animals,Sharks are mammals.,False
46,Animals,Lizards are not reptiles.,False
47,Animals,Crocodiles are a type of lizard.,False
48,Animals,Rats are herbivores.,False
49,Animals,Pigs are not mammals.,False
50,Plants,Plants need sunlight to survive.,True
51,Plants,A plant’s roots absorb water from the soil.,True
52,Plants,Plants make their own food through a process called photosynthesis.,True
53,Plants,Flowers are the reproductive part of a plant.,True
54,Plants,Plants release oxygen into the air.,True
55,Plants,Leaves are green because of a pigment called chlorophyll.,True
56,Plants,Plants can grow from seeds and cuttings.,True
57,Plants,Cactuses can survive for long periods of time without water.,True
58,Plants,"Plants can be classified as trees, shrubs, or herbs.",True
59,Plants,Some plants have thorns as a protection against predators.,True
60,Plants,Plants can help reduce pollution and improve air quality.,True
61,Plants,Plants produce seeds after they have been pollinated.,True
62,Plants,Some plants are used to make medicines.,True
63,Plants,Lilies are a type of flower.,True
64,Plants,"Some plants have edible parts like leaves, fruits or shoots.",True
65,Plants,Plants need air (oxygen) to survive.,True
66,Plants,Plants can adapt to their environment in order to survive.,True
67,Plants,Corn is a type of plant.,True
68,Plants,The tallest plant species is the redwood tree.,True
69,Plants,The Venus Flytrap is a carnivorous plant.,True
70,Plants,Plants can grow in soil or water.,True
71,Plants,Plants can be found on every continent of the world.,True
72,Plants,Moss is a type of plant.,True
73,Plants,Some plants are used to make perfumes or scented oils.,True
74,Plants,Plants can survive without oxygen.,False
75,Plants,All plants are sensitive to sunlight.,False
76,Plants,Plants can grow properly in any type of soil.,False
77,Plants,All flowers produce fruits.,False
78,Plants,Plants produce water as a waste product.,False
79,Plants,All plants are green.,False
80,Plants,Minuscule living organisms have no effect on plants.,False
81,Plants,All plants are harmless and cannot be poisonous.,False
82,Plants,Plants can grow with little to no air.,False
83,Plants,All parts of a plant can be consumed.,False
84,Plants,All plants grow at the same rate.,False
85,Plants,All plants require the same amount of water.,False
86,Plants,All seeds grow into the same kind of plant.,False
87,Plants,Plants do not play a role in stabilizing ecosystems.,False
88,Plants,All plants are equally important in regulating the Earth’s climate.,False
