,Topic,Question,Correct
0,Animals,Mammals are a type of animal.,True
1,Animals,Fish are not animals.,False
2,Animals,Birds are able to fly due to their lightweight bones.,True
3,Animals,The scientific name for humans is Homo sapiens.,True
4,Animals,Reptiles have scales covering their skin.,True
5,Animals,Elephants are the largest land animals.,True
6,Animals,All spiders are insects.,False
7,Animals,Koalas are native to Australia.,True
8,Animals,Snakes are able to dislocate their jaws in order to eat prey larger than themselves.,True
9,Animals,The largest fish in the world is the great white shark.,False
10,Animals,Bats are the only mammals capable of sustained flight.,True
11,Animals,Lobsters have blue blood.,True
12,Animals,The texture of a shark's skin is smooth.,False
13,Animals,Pigs lack sweat glands.,False
14,Animals,Tarantulas are venomous.,True
15,Animals,Sloths move so slowly that algae can grow on their fur.,True
16,Animals,Tigers are native to Africa.,False
17,Animals,The smallest mammal in the world is the bumblebee bat.,True
18,Animals,A group of whales is called a pod.,True
19,Animals,Dogs are omnivores.,True
20,Animals,Guinea pigs are a type of rodent.,True
21,Animals,The lifespan of a housefly is about 30 days.,True
22,Animals,Snails are capable of regenerating any part of their body.,False
23,Animals,Alligators and crocodiles are the same species.,False
24,Animals,All dogs are male.,False
25,Animals,"Flamingos are not actually pink, but their feathers turn pink due to their diet.",False
26,Animals,Ostriches are the largest birds in the world.,True
27,Animals,The lifespan of a butterfly is about 1 year.,False
28,Animals,"Sharks can only swim forwards, not backwards.",True
29,Animals,Cats can see in complete darkness.,False
30,Animals,"Penguins only live in cold environments, such as the Arctic.",False
31,Animals,Kangaroos walk backwards more easily than forwards.,False
32,Animals,Hippos are herbivores.,False
33,Animals,All snakes are venomous.,False
34,Animals,Gorillas are monkeys.,False
35,Animals,Platypuses lay eggs.,True
36,Animals,Starfish are fish.,False
37,Animals,The Tasmanian devil is a type of bear.,False
38,Animals,Jellyfish are not actually fish.,True
39,Animals,The largest bird in the world is the eagle.,False
40,Animals,All rabbits are herbivores.,True
41,Animals,Owls can turn their heads a full 360 degrees.,False
42,Animals,Octopuses have eight legs.,True
43,Animals,Wolves and coyotes are the same species.,False
44,Animals,Chameleons are able to change color to blend in with their surroundings.,True
45,Animals,Hedgehogs can swim.,True
46,Animals,Polar bears have black skin.,True
47,Animals,Bees can recognize human faces.,True
48,Plants,Plants produce oxygen.,True
49,Plants,The leaves are the primary food-making system of most plants.,True
50,Plants,Plants can reproduce both sexually and asexually.,True
51,Plants,The root system absorbs water and nutrients from the soil.,True
52,Plants,The purpose of flowers is for reproduction.,True
53,Plants,Plants can grow from cuttings.,True
54,Plants,Plants can conduct photosynthesis during night time.,False
55,Plants,All plants have seeds.,False
56,Plants,Plants cannot feel pain.,True
57,Plants,Plant cells contain chloroplasts and cell walls.,True
58,Plants,Plants have an immune system to protect themselves.,False
59,Plants,"Most plants require sunlight, water, and minerals to survive.",True
60,Plants,Cacti store water in their leaves.,False
61,Plants,The tallest known tree in the world is a species of redwood.,True
62,Plants,Photosynthesis helps plants convert sunlight into energy.,True
63,Plants,Plants can adapt to different environments.,True
64,Plants,"A plant's stem supports the weight of its leaves, flowers, and fruit.",True
65,Plants,Artificial light can be used for plants instead of sunlight.,True
66,Plants,Poison ivy is not actually a type of ivy.,True
67,Plants,Releasing oxygen is the primary function of plant respiration.,False
68,Plants,Mosses are considered non-vascular plants.,True
69,Plants,Most plants depend on bees and other pollinators for reproduction.,True
70,Plants,Aloe Vera can be used topically to soothe the skin.,True
71,Plants,Bacteria are not harmful to plants.,False
72,Plants,All plants can be eaten without harm.,False
73,Plants,Non-flowering plants do not produce seeds.,False
74,Plants,Watering plants with too much water can cause them to die.,True
75,Plants,Plants cannot move from one place to another.,False
76,Plants,Cactus is a tropical plant.,False
77,Plants,Plants do not produce carbon dioxide.,False
78,Plants,A fungus is always harmful to plants.,False
79,Plants,Some plants can grow in complete darkness.,False
80,Plants,Nutrients are absorbed by plants through the leaves.,False
81,Plants,All plants have flowers.,False
82,Plants,Humans are not dependent on plants.,False
83,Plants,The only source of energy for plants is photosynthesis.,False
84,Plants,Plants do not respire.,False
85,Plants,Climbing vines do not harm trees.,False
86,Plants,All plants grow in soil.,False
87,Plants,Fungi are not considered plants.,True
88,Plants,All plants have green leaves.,False
89,Plants,Pruning a plant can cause damage.,True
90,Plants,Phloem and Xylem are not found in plants.,False
91,Plants,All cacti are considered succulents.,True
92,Plants,Plants are not capable of communication with each other.,False
93,Plants,Algae and seaweed belong to the plant family.,False
94,Plants,Ethylene gas is not produced by ripe fruits and vegetables.,False
95,Plants,A venus flytrap is a type of herb.,False
96,Food and drink,Water is a necessary nutrient for our bodies to function properly.,True
97,Food and drink,Caffeine is a natural stimulant found in many beverages.,True
98,Food and drink,Consuming too much salt can lead to high blood pressure.,True
99,Food and drink,Eating too much sugar can lead to tooth decay.,True
100,Food and drink,Fiber is important for a healthy digestive system.,True
101,Food and drink,Iron is important for transporting oxygen in the blood.,True
102,Food and drink,Vitamin C is necessary for a healthy immune system.,True
103,Food and drink,Protein helps build and repair muscle.,True
104,Food and drink,Fruits and vegetables are important sources of vitamins and minerals.,True
105,Food and drink,Antioxidants are beneficial for protecting against cell damage.,True
106,Food and drink,Calcium and vitamin D are important for building strong bones.,True
107,Food and drink,Drinking too much alcohol can damage your liver.,True
108,Food and drink,Trans fats are harmful to your health.,True
109,Food and drink,Eating a variety of foods is important for getting all the necessary nutrients.,True
110,Food and drink,Drinking milk can help build strong teeth and bones.,True
