,Topic,Question,Correct
0,Animals,Dogs make good pets.,True
1,Animals,Elephants have big ears.,True
2,Animals,Cats can climb trees.,True
3,Animals,Penguins can't fly.,True
4,Animals,Birds have feathers.,True
5,Animals,Bats sleep during the day.,True
6,Animals,Alligators are reptiles.,True
7,Animals,Horses can run faster than people.,True
8,Animals,Monkeys have tails.,True
9,Animals,Turtles have shells.,True
10,Animals,Dolphins live in the ocean.,True
11,Animals,Owls stay awake at night.,True
12,Animals,Kangaroos have pouches.,True
13,Animals,Snakes don't have legs.,True
14,Animals,Zebras have stripes.,True
15,Animals,Lions are carnivores.,True
16,Animals,Gorillas are primates.,True
17,Animals,Giraffes have long necks.,True
18,Animals,Whales are mammals.,True
19,Animals,Fish can't breathe out of water.,True
20,Animals,Butterflies come from caterpillars.,True
21,Animals,Bees can fly.,True
22,Animals,Sharks live in the ocean.,True
23,Animals,Ants work together in colonies.,True
24,Animals,Cats are a type of fruit.,False
25,Animals,Elephants have fur instead of skin.,False
26,Animals,Penguins can breathe underwater.,False
27,Animals,Snakes have legs.,False
28,Animals,Fish can breathe air.,False
29,Animals,Bees can't make honey.,False
30,Animals,Spiders are insects.,False
31,Animals,Monkeys can speak human language.,False
32,Animals,Dogs can climb trees.,False
33,Animals,Alligators are mammals.,False
34,Animals,Horses can jump over the moon.,False
35,Animals,Butterflies hatch from eggs laid by birds.,False
36,Animals,Kangaroos are birds.,False
37,Animals,Penguins can fly.,False
38,Animals,Lions are herbivores.,False
39,Animals,Gorillas have fur instead of hair.,False
40,Animals,Turtles can't swim.,False
41,Animals,Zebras are a type of unicorn.,False
42,Animals,Whales are fish.,False
43,Animals,Snails can move quickly.,False
44,Animals,Sharks can live in freshwater.,False
45,Animals,Beavers can fly.,False
46,Animals,Dolphins are fish.,False
47,Animals,Owls can't turn their heads.,False
48,Animals,Ants are bigger than elephants.,False
49,Plants,Trees are plants.,True
50,Plants,The leaves of plants are usually green.,True
51,Plants,Plants need sunlight to grow.,True
52,Plants,Watering plants helps them stay alive.,True
53,Plants,Plants grow better in the soil than in sand.,True
54,Plants,Plants grow better in the shade than in the sun.,False
55,Plants,Plants cannot make their own food.,False
56,Plants,All plants have flowers.,False
57,Plants,Plants reproduce by making seeds.,True
58,Plants,Eating plants is good for our health.,True
59,Plants,Plants can move around on their own.,False
60,Plants,Some plants can be grown indoors.,True
61,Plants,All plants grow in the same way.,False
62,Plants,Flowers and fruits are different parts of plants.,True
63,Plants,Plants can feel emotions like people.,False
64,Plants,Plants can help clean the air we breathe.,True
65,Plants,Some plants are taller than buildings.,False
66,Plants,Plants need to be watered every day.,False
67,Plants,Some plants have thorns to protect themselves.,True
68,Plants,Plants can live for hundreds of years.,True
69,Plants,Trees provide homes for animals.,True
70,Plants,Plants can only grow outside in gardens.,False
71,Plants,Plants can be found all over the world.,True
72,Plants,All plants have the same type of leaves.,False
73,Plants,Some plants can be used to make medicine.,True
74,Plants,Plants do not need air to survive.,False
75,Plants,Plants can grow in very hot or very cold climates.,True
