,Topic,Question,Correct
0,Animals,Elephants are the biggest land mammals.,True
1,Animals,Fish are the only animals that can breathe underwater.,False
2,Animals,Bears hibernate during the winter months.,True
3,Animals,Giraffes have a long neck because they have more bones in their neck than other animals.,False
4,Animals,Dogs are a type of cat.,False
5,Animals,Penguins can't fly.,True
6,Animals,All snakes are venomous.,False
7,Animals,Gorillas are known for their ability to communicate using sign language.,True
8,Animals,Most spiders are harmful to humans.,False
9,Animals,A dolphin is a type of fish.,False
10,Animals,"Sheep are kept for their milk, wool, and meat.",True
11,Animals,Rabbits are rodents.,False
12,Animals,Cats are always able to land on their feet.,False
13,Animals,Snails are slimy because they sweat through their skin.,True
14,Animals,Cobras are able to spit venom into the eyes of their predators.,True
15,Animals,Crocodiles are found only in Africa.,False
16,Animals,The beaver is known for building dams.,True
17,Animals,An octopus has three hearts.,True
18,Animals,Anteaters eat only ants.,True
19,Animals,Camels store water in their humps.,False
20,Animals,Snakes don't have eyelids.,True
21,Animals,A group of lions is called a pride.,True
22,Animals,Kangaroos are only found in Australia.,True
23,Animals,Most birds are able to fly.,False
24,Animals,Insects are the only animals that can walk sideways.,False
25,Animals,Owls are nocturnal animals.,True
26,Animals,Sharks can breathe underwater by using their lungs.,False
27,Animals,Cows drink milk.,False
28,Animals,Baby cows are called foals.,False
29,Animals,Tarantulas are harmless to humans.,False
30,Animals,Ants are able to carry things much heavier than their weight.,True
31,Animals,A group of wolves is called a herd.,False
32,Animals,Alligators are famous for living in trees.,False
33,Animals,Spiders are insects.,False
34,Animals,Hippos are the fastest land animals.,False
35,Animals,Elephants can communicate using infrasound.,True
36,Animals,Monkeys have prehensile tails that can be used to grab things.,True
37,Animals,The zebra's stripes help it camouflage in its environment.,False
38,Animals,A group of geese is called a gaggle.,True
39,Animals,Bees are known for producing honey.,True
40,Animals,A group of dolphins is called a pod.,True
41,Animals,Rats can swim.,True
42,Animals,Llamas are social animals.,True
43,Animals,Hummingbirds are the smallest birds in the world.,True
44,Animals,Ostriches can fly.,False
45,Animals,Foxes are able to climb trees.,True
46,Animals,Armadillos have a hard shell that protects them.,True
47,Animals,The chameleon is able to change its skin color to blend in with its environment.,True
48,Animals,Sharks are the only fish that have bones.,False
49,Animals,Bats are blind.,False
50,Animals,Porcupines shoot their quills as a defense mechanism.,False
51,Animals,Penguins lay eggs.,True
52,Animals,Mosquitoes are attracted to light.,False
53,Plants,Plants produce oxygen.,True
54,Plants,All plants have flowers.,False
55,Plants,Plants need sunlight to survive.,True
56,Plants,The stem of a plant carries water from the roots to the leaves.,True
57,Plants,Plants do not need nutrients to grow.,False
58,Plants,Cactus is a type of plant that needs a lot of water.,False
59,Plants,All plants can be grown from seeds.,True
60,Plants,Plants can grow in soil and water.,True
61,Plants,Plants do not need air to survive.,False
62,Plants,Trees are the tallest type of plant.,True
63,Plants,The petals of a flower are used to attract insects for pollination.,True
64,Plants,Plants have the ability to heal themselves.,True
65,Plants,Roots help to anchor the plant into the soil.,True
66,Plants,All plants have thorns.,False
67,Plants,A prickly pear cactus is an example of a plant with needles.,True
68,Plants,Plants release carbon dioxide during photosynthesis.,False
69,Plants,Photosynthesis is the process by which plants make their food.,True
70,Plants,Plants help to maintain the water cycle.,True
71,Plants,Most plants have both male and female reproductive organs.,True
72,Plants,All plants are green in color.,False
73,Plants,Banana is a plant that grows from a seed.,True
74,Plants,Pollen is a sticky substance found inside the flower.,True
75,Plants,Photosynthesis occurs in the leaves of the plant.,True
76,Plants,Plants can grow from cuttings.,True
77,Plants,Plants do not play a role in the food chain.,False
78,Plants,All plants are edible.,False
79,Plants,"Tomato is a vegetable, not a fruit.",False
80,Plants,Plants cannot multiply through asexual reproduction.,False
81,Plants,Plant cells do not have a nucleus.,False
82,Plants,Cacti are the only type of plants that live in the desert.,False
83,Plants,All fruits come from flowers.,True
84,Plants,Fungi are a type of plant.,False
85,Plants,Poison ivy is a safe plant to touch.,False
86,Plants,All plants lose their leaves in the winter.,False
87,Plants,Bamboo is a type of tree.,False
88,Plants,Plants cannot survive in darkness.,True
89,Plants,All seeds are the same size.,False
90,Plants,All plants must be watered every day.,False
91,Plants,Photosynthesis only occurs during the night.,False
92,Plants,Cactus is a type of plant that needs a lot of sunlight.,True
93,Plants,All plants need fertilization to grow.,False
94,Plants,Plants can only be found on land.,False
95,Plants,Plants do not have living cells.,False
96,Plants,Roots do not play a role in absorbing nutrients for the plant.,False
97,Plants,All plants have a distinct smell.,False
98,Plants,Watering a plant with saltwater will help it grow faster.,False
99,Plants,All plants grow at a similar rate.,False
100,Plants,All plants have a specific season for growth.,False
101,Plants,A plant can only produce one type of fruit.,False.
102,Food and drink,Milk is a type of fruit.,False
103,Food and drink,Water is essential to life.,True
104,Food and drink,Bananas are a type of citrus fruit.,False
105,Food and drink,A calorie is a unit of measurement for energy.,True
106,Food and drink,Pizza is a type of salad.,False
107,Food and drink,Watermelons are a type of berry.,True
108,Food and drink,Orange juice is made from oranges.,True
109,Food and drink,Cooking oil is a type of drink.,False
110,Food and drink,The human body is made up of 70% water.,True
111,Food and drink,Chocolate is a vegetable.,False
112,Food and drink,Broccoli is a type of seafood.,False
113,Food and drink,Honey is made by bees.,True
114,Food and drink,Carrots are a type of nut.,False
115,Food and drink,Tea is a type of coffee.,False
116,Food and drink,Sugar is a type of spice.,False
117,Food and drink,Apples are a type of meat.,False
118,Food and drink,Ice cream is a type of salad dressing.,False
119,Food and drink,Pineapple is a type of poultry.,False
120,Food and drink,Bread is a type of grain.,True
121,Food and drink,Vegetables are healthy to eat.,True
122,Food and drink,Drinking too much soda is bad for you.,True
123,Food and drink,Water is the healthiest drink for your body.,True
124,Food and drink,It is good to eat a balanced diet.,True
125,Food and drink,Fruits and vegetables provide essential vitamins and minerals that your body needs.,True
126,Food and drink,All food should be washed before eating.,True
127,Food and drink,Protein foods help your body to grow and repair itself.,True
128,Food and drink,Junk food is healthy for you.,False
129,Food and drink,You should chew your food thoroughly before swallowing.,True
130,Food and drink,Sweets and sugary drinks can be harmful to your teeth.,True
131,Food and drink,Salt is good for your body in large amounts.,False
132,Food and drink,It is important to read food labels to see what is in your food.,True
