,Question,Correct
0,Pizza is a type of food.,True
1,Water is a drink.,True
2,Ice cream is a type of food.,True
3,Milk is a drink.,True
4,Vegetables are a type of food.,True
5,Orange juice is a drink.,True
6,Bread is a type of food.,True
7,Lemonade is a drink.,True
8,Cookies are a type of food.,True
9,Apple juice is a drink.,True
10,Spaghetti is a type of food.,True
11,Soda is a drink.,True
12,Fruits are a type of food.,True
13,Hot chocolate is a drink.,True
14,Carrots are a type of food.,True
15,Juice comes from fruits.,True
16,Eggs are a type of food.,True
17,Tea is a drink.,True
18,Hamburgers are a type of food.,True
19,Coffee is a drink.,True
20,French fries are a type of food.,True
21,Lemonade comes from lemons.,True
22,Milk comes from cows.,True
23,Macaroni is a type of food.,True
24,Rocks are a type of food.,False
25,Toys are a type of food.,False
26,Trees are a type of food.,False
27,Rocks are a drink.,False
28,Cars are a type of food.,False
29,The sun is a drink.,False
30,Dogs are a type of food.,False
31,The moon is a drink.,False
32,Grass is a type of food.,False
33,The ocean is a drink.,False
34,Tables are a type of food.,False
35,Books are a drink.,False
36,Computers are a type of food.,False
37,Televisions are a drink.,False
38,Chairs are a type of food.,False
39,Rocks come from trees.,False
40,Cars are a drink.,False
41,Dogs come from eggs.,False
42,Furniture is a type of food.,False
43,The sun is a type of food.,False
44,Toys are a drink.,False
45,Computers are a drink.,False
46,The moon is a type of food.,False
47,Televisions are a type of food.,False
48,Music is a type of art.,True
49,We can listen to music by playing it on a radio.,True
50,A guitar is a musical instrument.,True
51,Musicians can sing and play instruments at the same time.,True
52,"Different types of music include rock, country, and classical.",True
53,A band can have many people playing different instruments.,True
54,Musical notes are written on a staff with lines and spaces.,True
55,Musicians practice playing their instruments to get better.,True
56,"Some common musical instruments are drums, piano, and violin.",True
57,"A song can have many different parts, including a chorus and verses.",True
58,We can dance to music.,True
59,"Music can make us feel happy, sad, or excited.",True
60,"A musical performance can include singing, dancing, and playing instruments.",True
61,We can sing songs to ourselves or to others.,True
62,A conductor leads an orchestra and helps to keep everyone playing together.,True
63,"We can play music loud or soft, depending on how we feel.",True
64,Music is often played at parties and celebrations.,True
65,"Sometimes music has lyrics, which are the words to the song.",True
66,We can clap our hands or snap our fingers along to music.,True
67,Musicians can write their own songs and make their own music.,True
68,A music festival is an event where many musicians play their music for large crowds.,True
69,"Music can help us remember things better, like the alphabet or counting.",True
70,A music stand is a helpful tool for musicians to hold their sheet music while they play.,True
71,A tambourine is a type of percussion instrument.,True
72,Music is only for kids who are good at singing.,False
73,We can only listen to music on a computer.,False
74,A bicycle is a musical instrument.,False
75,Musicians can't perform if they don't have a big audience.,False
76,There is only one type of music.,False
77,A band can have many people playing the same instrument.,False
78,Musical notes are written on a chalkboard.,False
79,Musicians don't need to practice playing their instruments to get better.,False
80,The only type of musical instrument is a guitar.,False
81,A song only has one part.,False
82,We can't dance to music.,False
83,Music never affects our emotions.,False
84,A musical performance can only include singing.,False
85,We can't sing songs unless we are really good at it.,False
86,A conductor just listens to the musicians play.,False
87,We always have to play music loud.,False
88,Music is never played at quiet events.,False
89,Sometimes music doesn't have any words.,False
90,We can't show our appreciation for music by clapping our hands or snapping our fingers.,False
91,Musicians can't come up with their own music ideas.,False
92,A music festival only has one musician playing all the music.,False
93,Music doesn't help us remember things better.,False
94,A music stand can't help musicians play their instruments better.,False
95,A tambourine is a type of wind instrument.,False
96,Watching movies is a fun activity.,True
97,Movies are usually shown in theaters.,True
98,Movies are always viewed on a big screen.,False
99,It's okay to talk loudly during a movie.,False
100,Popcorn is a popular movie snack.,True
101,Movie tickets are usually free.,False
102,Movies are made up of moving pictures.,True
103,You can watch movies at home or in a theater.,True
104,Actors are the people who act in movies.,True
105,Movies are usually shown in black and white.,False
106,The music in movies helps to tell the story.,True
107,"In horror movies, there are usually happy endings.",False
108,Movies are always based on true stories.,False
109,Animation movies are made with real people.,False
110,The credits at the end of a movie list the people who worked on the film.,True
111,It's okay to kick the seat in front of you during a movie.,False
112,People watch movies to be entertained.,True
113,All movies are silent.,False
114,Movies can teach us important lessons about life.,True
115,The main character of a movie is usually called the villain.,False
116,Movie sound effects make the action scenes more exciting.,True
117,A lot of work goes into making a movie.,True
118,"Movies are usually rated based on their language, violence, and other content.",True
119,It's okay to run around and play during a movie.,False
120,Movies can take us on adventures to new places.,True
121,Television shows are a type of entertainment.,True
122,Only kids watch television shows.,False
123,Television shows can be watched on a TV.,True
124,Television shows can only be watched on a computer.,False
125,Television shows have characters.,True
126,Television shows are never about animals.,False
127,Television shows can be fictional.,True
128,Television shows are only about real-life events.,False
129,Television shows can be funny.,True
130,Television shows are always serious.,False
131,You can watch television shows with your family.,True
132,Only one person can watch television shows at a time.,False
133,Television shows can teach you new things.,True
134,You never learn anything from watching television shows.,False
135,Television shows are always in the same language.,False
136,Television shows can be watched in different languages.,True
137,Television shows can only be watched in the daytime.,False
138,You can watch television shows at night.,True
139,You don't need a remote to watch television shows.,False
140,You can change the channel on television shows with a remote.,True
141,All television shows have commercials.,False
142,Commercials interrupt television shows.,True
143,Television shows can be recorded and watched later.,True
144,You can never watch television shows again once they are over.,False
145,Television shows are always made in the same country.,False
146,Television shows can come from different countries.,True
147,Television shows are usually only one episode.,False
148,Television shows can have multiple episodes.,True
149,You can only watch television shows on one device.,False
150,Television shows can be watched on different devices.,True
151,Television shows are never scary.,False
152,Television shows can be scary.,True
153,A television show is a type of fruit.,False
154,Television shows can only be watched outside.,False
155,You can watch television shows inside.,True
156,Television shows are always about cooking.,False
157,Television shows can be about cooking.,True
158,Television shows are never animated.,False
159,Television shows can be animated.,True
160,You learn bad things from watching television shows.,False
161,Television shows can be educational.,True
162,Television shows are always live.,False
163,Television shows can be live.,True
164,You cannot pause television shows.,False
165,You can pause television shows.,True
166,Watching television shows is never fun.,False
167,Watching television shows can be fun.,True
168,The moon is made of cheese in television shows.,False
169,Television shows don't talk back to you.,True
170,Books have stories in them.,True
171,Some books have pictures in them.,True
172,You can learn new things from books.,True
173,Characters in books can have different feelings.,True
174,You can read a book by yourself.,True
175,Words in books are written on pages.,True
176,Books can be fiction or non-fiction.,True
177,Libraries have many books to borrow.,True
178,You can read a book online.,True
179,The author is the person who wrote the book.,True
180,Books can make you happy or excited.,True
181,You can read a book before bed.,True
182,A book can have a sad ending.,True
183,You can imagine what the characters look like.,True
184,You can learn new words from books.,True
185,A bookmark is used to keep track of where you are in a book.,True
186,Reading quietly is important in a library.,True
187,Books are kept in alphabetical order in a library.,True
188,J.K. Rowling wrote the Harry Potter series.,True
189,Some books have chapters.,True
190,"Many books have a beginning, middle, and end.",True
191,Books can take you to different places in the world or even outer space.,True
192,"You can read books about animals, history, or science.",True
193,Dr. Seuss wrote many popular children's books.,True
194,Picture books are a type of book that have lots of pictures.,True
195,Books are only for adults.,False
196,You can only read a book at school.,False
197,Books are not important.,False
198,All books have the same cover.,False
199,You can eat a book like food.,False
200,Only boys can read books.,False
201,Books can be read upside down.,False
202,You can't read a book more than once.,False
203,The author of a book is the person who drew the pictures.,False
204,Reading a book is the same as watching TV.,False
205,You don't need to know how to read to enjoy a book.,False
206,There is nothing to learn from a book.,False
207,All books are the same size.,False
208,You can only read a book on a computer.,False
209,"All books have the word ""book"" in the title.",False
210,All stories in books are happy.,False
211,You can only find books at a toy store.,False
212,Reading a book is a waste of time.,False
213,You can only read books in English.,False
214,You can't learn about different cultures from reading books.,False
215,All books are made of the same material.,False
216,You can only read books in a library.,False
217,Only girls can read books.,False
218,You can only read a book once and then it's done.,False
219,The author of a book is the person who printed the pages.,False
220,Soccer is a sport.,True
221,Baseball is played with a bat and a ball.,True
222,Basketball is played with a ball that is bounced on the ground.,True
223,Tennis is played with a racquet and a ball.,True
224,Swimming is a water sport.,True
225,Volleyball is played with a ball over a net.,True
226,Football is a sport played with an oval-shaped ball.,True
227,Running is a sport that involves moving quickly on your feet.,True
228,Gymnastics is a sport that involves acrobatics and physical strength.,True
229,Hockey is played with a stick and a puck.,True
230,Table tennis is played on a small table with a small ball.,True
231,Golf is a sport played with clubs and a ball.,True
232,Skateboarding is a sport that involves riding a board on wheels.,True
233,Boxing is a sport where two people fight each other wearing gloves.,True
234,Archery is a sport that involves shooting arrows with a bow.,True
235,Figure skating is a sport that involves skating on ice.,True
236,Fencing is a sport that involves swordfighting.,True
237,Karate is a martial art that involves punching and kicking.,True
238,Horseback riding is a sport that involves riding on a horse.,True
239,Skiing is a sport that involves sliding on snow.,True
240,Cheerleading is a sport that involves dancing and gymnastics.,True
241,Surfing is a water sport that involves riding waves.,True
242,Biking is a sport that involves riding on a bicycle.,True
243,Badminton is played with a shuttlecock and a racquet.,True
244,Soccer is played with sticks and a puck.,False
245,Basketball is played with a ball that is thrown with your hands.,False
246,Baseball is played with a club and a ball.,False
247,Tennis is played with a bat and a ball.,False
248,Swimming is a sport that involves walking on the ground.,False
249,Volleyball is played with a ball under a net.,False
250,Football is a sport where the players use their hands to move the ball.,False
251,Running is a sport that involves sitting on a chair.,False
252,Gymnastics is a sport that involves singing and dancing.,False
253,Hockey is played with a stick and a ball.,False
254,Table tennis is played on a big table with a large ball.,False
255,Golf is a sport played with a bat and a ball.,False
256,Skateboarding is a sport that involves riding a horse.,False
257,Boxing is a sport where two people wrestle each other.,False
258,Archery is a sport that involves throwing balls.,False
259,Figure skating is a sport that involves dancing on the ground.,False
260,Fencing is a sport that involves playing cards.,False
261,Karate is a sport that involves jumping on a trampoline.,False
262,Horseback riding is a sport that involves walking on a tightrope.,False
263,Skiing is a sport that involves skating on concrete.,False
264,Cheerleading is a sport that involves singing in a microphone.,False
265,Surfing is a land sport that involves running on a treadmill.,False
266,Biking is a sport that involves driving a car.,False
267,Badminton is played with a ball and a glove.,False
268,The Earth is flat.,False
269,Oceans are filled with salty water.,True
270,The equator is a line that runs around the middle of the Earth.,True
271,The North Pole is hotter than the South Pole.,False
272,The Great Wall of China is the longest wall in the world.,True
273,The Amazon River flows through South America.,True
274,Australia is a continent and a country.,True
275,Antarctica is the smallest continent.,False
276,The United States has 50 states.,True
277,Asia is the largest continent.,True
278,The Sahara Desert is located in South America.,False
279,Mount Everest is the tallest mountain in the world.,True
280,Africa is a country.,False
281,The Nile River is the longest river in the world.,False
282,The South Pole is located in Antarctica.,True
283,The Pacific Ocean is the largest ocean in the world.,True
284,The Statue of Liberty is located in France.,False
285,The capital of the United States is New York City.,False
286,Russia is the largest country in the world.,True
287,The Mediterranean Sea is located in Africa.,False
288,The Eiffel Tower is located in Italy.,False
289,Europe is a continent.,True
290,The Andes Mountains are located in North America.,False
291,Canada is the largest country in the world.,False
292,The Earth is the center of the universe.,False
293,The North Pole is located in Antarctica.,False
294,The Nile River flows through South America.,False
295,The Great Wall of China is the tallest wall in the world.,False
296,The equator is a line that runs around the North Pole.,False
297,The Amazon Rainforest is located in Asia.,False
298,The Pacific Ocean is the smallest ocean in the world.,False
299,There are 8 continents in the world.,False
300,The United States has 52 states.,False
301,Africa is the smallest continent.,False
302,The Sahara Desert is located in Australia.,False
303,Antarctica is a country.,False
304,The Statue of Liberty is located in Italy.,False
305,The capital of the United States is Los Angeles.,False
306,The Himalayas are located in South America.,False
307,The Atlantic Ocean is the largest ocean in the world.,False
308,Mount Everest is the shortest mountain in the world.,False
309,The Mediterranean Sea is located in Europe.,True
310,The Eiffel Tower is located in Spain.,False
311,Asia is the smallest continent.,False
312,The Rockies are located in Europe.,False
313,Mexico is the largest country in the world.,False
314,The Mississippi River is the longest river in the world.,False
315,The Grand Canyon is located in Canada.,False
316,Antarctica is the warmest continent.,False
317,Abraham Lincoln was the 16th President of the United States.,True
318,The dinosaurs lived at the same time as the ancient Egyptians.,False
319,The Statue of Liberty is in New York City.,True
320,Cleopatra was a famous queen of Egypt.,True
321,George Washington was the first President of the United States.,True
322,The Great Wall of China is the largest wall in the world.,True
323,Christopher Columbus discovered America in 1492.,True
324,Martin Luther King Jr. was a civil rights leader.,True
325,World War II began in 1939.,True
326,The Ancient Greeks were known for inventing the Olympic Games.,True
327,The first astronauts landed on the moon in 1969.,True
328,Vikings are known for their longboats and helmets with horns.,True
329,Julius Caesar was an emperor of Rome.,False
330,The Mayflower was a ship that brought the first settlers to America.,True
331,The Declaration of Independence was signed in 1776.,True
332,Davy Crockett was a famous astronaut.,False
333,The Civil War was fought in the 1800s.,True
334,The Great Depression began in the 1920s.,False
335,The Renaissance was a time of great art and learning.,True
336,The Pony Express was a way to deliver mail quickly in the Wild West.,True
