,Question,Correct
0,Dogs are mammals.,True
1,Elephants are the largest land animals.,True
2,Reptiles are warm-blooded animals.,False
3,A group of lions is called a pack.,False
4,Kangaroos cannot walk backward.,True
5,Snakes have slimy skin.,False
6,Penguins only live in the North Pole.,False
7,Bats are the only mammal that can fly.,True
8,Sharks do not have bones.,True
9,Bees can only see the color yellow.,False
10,Cheetahs are the fastest land animals.,True
11,Spiders are insects.,False
12,Penguins have feathers.,True
13,Snails are able to sleep for up to three years.,False
14,Whales are not fish.,True
15,A group of fish is called a school.,True
16,Tortoises can live up to 200 years.,True
17,Ants are able to carry objects 50 times their weight.,True
18,Octopuses have three hearts.,True
19,Rabbits are rodents.,False
20,Dolphins are fish.,False
21,Crocodiles have the strongest bite force of any animal.,True
22,Cats can see better than dogs in the dark.,True
23,Gorillas are the largest primates.,True
24,Fish are the only animals that breathe underwater.,False
25,Polar bears are only found in Antarctica.,False
26,Snakes have legs.,False
27,Camels store water in their humps.,False
28,Gorillas are monkeys.,False
29,Scorpions are mammals.,False
30,Elephants can jump.,False
31,Penguins have knees.,True
32,Bees are not important for the pollination of flowers.,False
33,Turtles are slow and cannot move quickly.,False
34,Hippos are herbivores.,True
35,Cockroaches can survive a nuclear explosion.,False
36,Komodo dragons are found in Africa.,False
37,A kangaroo can move both its legs at the same time.,False
38,Rhinoceroses are extinct.,False
39,Birds are the only animals that can fly.,False
40,Koalas are bears.,False
41,Jaguars only live in Africa.,False
42,Spiders have six legs.,False
43,Lobsters have blue blood.,True
44,Sharks can swim backward.,False
45,Platypuses lay eggs.,True
46,Owls are able to turn their heads 360 degrees.,False
47,Snails move quickly.,False
48,Sloths are fast-moving animals.,False
49,Plants require sunlight to grow.,True
50,Plants release oxygen into the atmosphere.,True
51,Photosynthesis is the process by which plants produce food.,True
52,Chlorophyll is the green pigment in plants that captures light energy.,True
53,Plants can perform cellular respiration.,True
54,The cells of plants have cell walls.,True
55,Plant cells contain chloroplasts.,True
56,Plants use water and carbon dioxide in photosynthesis.,True
57,Xylem and phloem are the two types of tissues used for transport in plants.,True
58,Pollination is the transfer of pollen from the male to the female part of a plant.,True
59,Fruits and seeds are the products of successful plant reproduction.,True
60,The process of germination is when a seed starts to grow.,True
61,Leaves of plants are responsible for photosynthesis.,True
62,Some plants are used to produce medicines.,True
63,The roots of the plants provide anchorage to the plant and also absorb water and nutrients from the soil.,True
64,Stamens produce the female reproductive parts of a flower.,False
65,All parts of a plant are edible and safe for humans to consume.,False
66,"All plants require the same type and amount of water, soil, and sunlight.",False
67,"Almost all medicines come from synthetic sources, not plants.",False
68,All plants produce colorful flowers that attract pollinators.,False
69,All plants reproduce by seeds.,False
70,Succulent plants require the same amount of water as other plants.,False
71,All plants are native to a particular region.,False
72,All plants are able to grow and survive in any type of environment.,False
73,The leaves of deciduous plants fall off during winter.,True
74,Plants do not require sunlight to grow.,False
75,Plants release carbon dioxide into the atmosphere.,False
76,Photosynthesis is the process by which plants consume food.,False
77,Chlorophyll is the yellow pigment in plants that captures light energy.,False
78,Plants cannot perform cellular respiration.,False
79,The cells of plants do not have cell walls.,False
80,Plant cells don't contain chloroplasts.,False
81,Plants use iron and nitrogen in photosynthesis.,False
82,Only xylem is the type of tissue used for transport in plants.,False
83,Pollination is the transfer of pollen from the male to the male part of a plant.,False
84,Fruits and seeds are not produced as a result of successful plant reproduction.,False
85,The process of germination is when a seed stops to grow.,False
86,Leaves of plants are not responsible for photosynthesis.,False
87,No plants are used to produce any medicines.,False
88,"The roots of the plants provide only anchorage to the plant, and do not absorb water and nutrients from the soil.",False
89,The stamens produce the male reproductive parts of a flower.,True
90,All parts of a plant are edible and safe for humans to consume.,False
91,"All plants require the same type and amount of water, soil, and sunlight.",False
92,"Almost all medicines come from natural sources, like plants.",True
93,All plants produce colorful flowers that attract pollinators.,False
94,All plants reproduce asexually.,False
95,Succulent plants require less water than other plants.,True
96,All plants are invasive species.,False
97,All plants are able to grow and survive in any type of environment.,False
98,The leaves of deciduous plants never fall off.,False
99,Pizza is an Italian dish.,True
100,Apples are a type of fruit.,True
101,Water is a necessary component for making coffee.,True
102,Hot dogs are a type of sandwich.,True
103,"There are four basic tastes: sweet, sour, bitter, and umami.",True
104,Milk comes from cows.,True
105,Sushi originated in Japan.,True
106,Omelets are made with eggs.,True
107,Chocolate is made from cocoa beans.,True
108,Honey comes from bees.,True
109,A smoothie is made by blending fruits and vegetables.,True
110,Lemons are more acidic than oranges.,True
111,A latte is a coffee drink that contains milk.,True
112,Potatoes are a type of vegetable.,True
113,Carbonation is the process of adding carbon dioxide gas to a liquid.,True
114,Cabbage is a cruciferous vegetable.,True
115,"Bread is made from flour, water, and yeast.",True
116,Carrots contain vitamin A.,True
117,Red wine is made from red grapes.,True
118,An avocado is a type of fruit.,True
119,Coffee is brewed by steeping ground coffee beans in hot water.,True
120,Tea is the most popular beverage in the world after water.,True
121,Grapes are used to make wine.,True
122,Yogurt is produced by bacterial fermentation of milk.,True
123,Chocolate milk comes from brown cows.,False
124,Seltzer water and club soda are the same thing.,False
125,Margarine is healthier than butter.,False
126,Tuna is a type of bird.,False
127,White chocolate contains cocoa solids.,False
128,Fruit snacks are a good source of whole fruit.,False
129,French fries were invented in France.,False
130,Strawberry is the most popular ice cream flavor.,False
131,Quinoa is a type of animal protein.,False
132,Energy drinks hydrate better than water.,False
133,Pigs in a blanket are made with actual pigs.,False
134,Cucumbers belong to the fruit family.,False
135,Blueberries are yellow on the outside.,False
136,Popcorn is a type of cereal.,False
137,Tofu is made from soybeans.,False
138,Pineapples grow on trees.,False
139,Ketchup was originally a type of medicine.,False
140,Soy milk is made from cow's milk.,False
141,Almonds are a type of nut.,False
142,"The phrase ""grab the bull by the horns"" refers to a cooking technique.",False
143,Gummy bears are a type of fruit.,False
